Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4",C_Disc_D4.7mm_W2.5mm_P7.62mm,4,0.1μ,
D1,D_DO-41_SOD81_P10.16mm_Horizontal,1,1N5817,
J2,IDC-Header_2x04_P2.54mm_Vertical,1,VGA,
Q1,SOT-23,1,DMG2305UX-7,
"R1, R15, R2, R3",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Thin_Horizontal,4,10K,
"R10, R4, R7",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Thin_Horizontal,3,500,
"R11, R5, R8",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Thin_Horizontal,3,1K,
"R12, R6, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Thin_Horizontal,3,2K,
"R13, R14",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Thin_Horizontal,2,47,
SW1,SW_PUSH_6mm_H5mm,1,Reset,
"U1, U2, U3, U4",DIP-20_W7.62mm_Socket,4,74LVC245,
U6,RPi_Pico_SMD_TH,1,Pico,
